chunk_idx,document_id,cosine
188,4ad69286-e9c3-42b2-8f8e-94b79514dcf1,1.0
189,ead40ca0-aeb1-40f6-a028-206307d13c6d,0.999999
190,d61cb3eb-69d4-4782-b761-0ad6c4c67e90,0.999999
191,4bbaa98d-16e3-47f9-b638-db59a89fd0d0,0.999999
192,ead40ca0-aeb1-40f6-a028-206307d13c6d,1.0
193,5d8422e3-1d76-48c7-baf9-3c389be15738,1.0
194,4c49b3e9-c874-417b-b0a8-d9ba5b913ac7,0.999999
195,2575a5c0-191f-48d7-adc3-dbfe51d18f70,0.972359
196,d61cb3eb-69d4-4782-b761-0ad6c4c67e90,1.0
197,d77e32f2-f5e4-4ab0-98be-b635338db4b8,1.0
198,ed413eb8-bafb-4f68-bdac-9cf8cd73ee0f,0.999997
199,2575a5c0-191f-48d7-adc3-dbfe51d18f70,0.999995
200,ead40ca0-aeb1-40f6-a028-206307d13c6d,0.999997
201,d77e32f2-f5e4-4ab0-98be-b635338db4b8,1.0
202,4bbaa98d-16e3-47f9-b638-db59a89fd0d0,1.0
203,d032750b-a052-424f-ac02-8e3f373bf045,0.999999
204,d77e32f2-f5e4-4ab0-98be-b635338db4b8,0.999998
205,88039f1b-db41-4c7b-949c-dc60662b61a3,0.999999
206,ead40ca0-aeb1-40f6-a028-206307d13c6d,1.0
207,4c49b3e9-c874-417b-b0a8-d9ba5b913ac7,0.999999
208,29649729-03a0-40d6-b4f5-18cc82149aa2,0.999999
209,4bbaa98d-16e3-47f9-b638-db59a89fd0d0,1.0
210,4ad69286-e9c3-42b2-8f8e-94b79514dcf1,1.0
211,d032750b-a052-424f-ac02-8e3f373bf045,0.999999
212,29649729-03a0-40d6-b4f5-18cc82149aa2,0.999999
213,d61cb3eb-69d4-4782-b761-0ad6c4c67e90,1.0
214,5d8422e3-1d76-48c7-baf9-3c389be15738,1.0
215,6ddca1d1-a79f-40e5-a17d-c12c67e9100b,0.999999
216,d61cb3eb-69d4-4782-b761-0ad6c4c67e90,0.999999
217,29649729-03a0-40d6-b4f5-18cc82149aa2,0.999998
218,d77e32f2-f5e4-4ab0-98be-b635338db4b8,1.0
